date,actual,predicted
11.02.2024 09:00,9.06,7.637145161
11.02.2024 10:00,9.19,9.608569315
11.02.2024 11:00,9.81,9.069097501
11.02.2024 12:00,9.83,9.358208391
11.02.2024 13:00,9.44,9.010905589
11.02.2024 14:00,6.47,8.212069863
11.02.2024 15:00,3.53,4.823250421
11.02.2024 16:00,0.86,1.975245849
11.02.2024 17:00,0.01,-0.424616544
11.02.2024 18:00,0,-0.772889944
11.02.2024 19:00,0,-0.422943735
11.02.2024 20:00,0,-0.185641786
11.02.2024 21:00,0,0.030343768
11.02.2024 22:00,0,0.227287223
11.02.2024 23:00,0,0.359741822
12.02.2024 00:00,0,0.563875288
12.02.2024 01:00,0,0.690844162
12.02.2024 02:00,0,0.825189584
12.02.2024 03:00,0,0.931762193
12.02.2024 04:00,0,1.020249638
12.02.2024 05:00,0,1.092870996
12.02.2024 06:00,0.05,1.150431679
12.02.2024 07:00,0.57,1.247411846
12.02.2024 08:00,2.03,1.825293285
12.02.2024 09:00,7.42,3.311839039
12.02.2024 10:00,7.04,8.784605908
12.02.2024 11:00,4.75,7.357107851
12.02.2024 12:00,5.24,4.638610266
12.02.2024 13:00,4.93,5.163559697
12.02.2024 14:00,3.92,4.702731941
12.02.2024 15:00,2.46,3.512436938
12.02.2024 16:00,0.46,1.995030226
12.02.2024 17:00,0,0.039830786
12.02.2024 18:00,0,-0.096568343
12.02.2024 19:00,0,0.080452149
12.02.2024 20:00,0,0.188629677
12.02.2024 21:00,0,0.285709162
12.02.2024 22:00,0,0.371776162
12.02.2024 23:00,0,0.399329742
13.02.2024 00:00,0,0.512530322
13.02.2024 01:00,0,0.540530414
13.02.2024 02:00,0,0.593306511
13.02.2024 03:00,0,0.650739177
13.02.2024 04:00,0,0.679212533
13.02.2024 05:00,0,0.699778241
13.02.2024 06:00,0,0.712952113
13.02.2024 07:00,0.64,0.719197695
13.02.2024 08:00,2.32,1.404495166
13.02.2024 09:00,3.21,3.084912314
13.02.2024 10:00,5.64,3.696355854
13.02.2024 11:00,4.24,6.03095745
13.02.2024 12:00,5.02,3.955617315
13.02.2024 13:00,3.41,4.814352526
13.02.2024 14:00,4.13,2.788892095
13.02.2024 15:00,0.78,3.65158433
13.02.2024 16:00,0.22,-0.141607928
13.02.2024 17:00,0,-0.255420868
13.02.2024 18:00,0,-0.327043935
13.02.2024 19:00,0,-0.201397645
13.02.2024 20:00,0,-0.110463757
13.02.2024 21:00,0,-0.026705943
13.02.2024 22:00,0,0.049890049
13.02.2024 23:00,0,0.095670278
14.02.2024 00:00,0,0.181583702
14.02.2024 01:00,0,0.231345999
14.02.2024 02:00,0,0.287375979
14.02.2024 03:00,0,0.327630005
14.02.2024 04:00,0,0.363296816
14.02.2024 05:00,0,0.393118564
14.02.2024 06:00,0.03,0.417124432
14.02.2024 07:00,2.1,0.46786158
14.02.2024 08:00,4.32,2.690230286
14.02.2024 09:00,4.92,4.709106481
